POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,GIULIANI,HUCKABEE,MCCAIN,PAUL,ROMNEY,THOMPSON,UNDECIDED
Gallup,2008-02-24,2008-02-26,-55,1012,Likely Voters,,,,,,-,22,63,4,-,,7
AP-Ipsos,2008-02-22,2008-02-24,-53,381,A,,,,,,-,27,53,8,-,,11
USA Today/Gallup,2008-02-21,2008-02-24,-53,829,A,,,,,,-,23,61,4,-,,6
Pew,2008-02-20,2008-02-24,-54,482,Registered Voters,,,,,,-,23,61,7,-,,7
Gallup,2008-02-22,2008-02-23,-51,944,Likely Voters,,,,,,-,20,65,6,-,,10
Fox,2008-02-19,2008-02-20,-48,294,Registered Voters,,,,,,-,34,51,7,-,,4
Gallup,2008-02-18,2008-02-20,-49,1006,Likely Voters,,,,,,-,22,62,5,-,,6
Gallup,2008-02-15,2008-02-17,-46,1003,Likely Voters,,,,,,-,26,54,6,-,,8
Diageo/Hotline,2008-02-14,2008-02-17,-46,266,Likely Voters,,,,,,-,25,53,7,-,,11
Zogby,2008-02-13,2008-02-16,-45,434,Likely Voters,,,,,,-,32,47,7,-,,8
Gallup,2008-02-12,2008-02-14,-43,1000,Likely Voters,,,,,,-,28,53,5,-,,6
ARG,2008-02-09,2008-02-13,-43,600,Likely Voters,,,,,,-,31,54,3,-,,12
Gallup,2008-02-09,2008-02-11,-40,963,Likely Voters,,,,,,-,28,52,5,-,,9
AP-Ipsos,2008-02-07,2008-02-10,-39,357,A,,,,,,-,30,44,9,-,,4
USA Today/Gallup,2008-02-08,2008-02-09,-37,,A,,,,,,-,27,53,8,-,,-
Gallup,2008-02-06,2008-02-08,-37,1012,Likely Voters,,,,,,-,21,53,5,10,,7
Newsweek,2008-02-06,2008-02-07,-35,463,,,,,,,-,32,51,6,-,,-
Gallup,2008-02-03,2008-02-05,-34,1022,Likely Voters,,,,,,-,21,41,4,25,,7
CNN,2008-02-01,2008-02-03,-32,412,Registered Voters,,,,,,-,18,44,6,29,,-
Cook/RT,2008-01-31,2008-02-02,-31,308,Registered Voters,,,,,,-,18,39,6,24,,12
Gallup,2008-01-31,2008-02-02,-31,1091,Likely Voters,,,,,,-,18,43,4,24,,7
CBS,2008-01-30,2008-02-02,-31,325,Likely Voters,,,,,,-,12,46,9,23,,8
USA Today/Gallup,2008-01-30,2008-02-02,-31,867,A,,,,,,-,18,42,5,24,,-
Pew,2008-01-30,2008-02-02,-31,513,Registered Voters,,,,,,-,20,42,5,22,,11
ABC/Post,2008-01-30,2008-02-01,-30,,Likely Voters,,,,,,-,16,48,7,24,,3
Fox,2008-01-30,2008-01-31,-28,297,Registered Voters,,,,,,-,19,48,5,20,,5
Gallup,2008-01-28,2008-01-30,-28,1020,Likely Voters,,,,,,7,17,37,4,22,,10
Gallup,2008-01-25,2008-01-27,-25,1044,Likely Voters,,,,,,13,18,29,5,21,,12
Gallup,2008-01-22,2008-01-24,-22,1045,Likely Voters,,,,,,14,20,31,5,19,,8
NBC/WSJ,2008-01-20,2008-01-22,-20,,Likely Voters,,,,,,13,20,28,4,17,,8
Times/Bloomberg,2008-01-18,2008-01-22,-21,337,Likely Voters,,,,,,12,18,22,6,17,,13
AP-Ipsos,2008-01-15,2008-01-17,-15,394,A,,,,,,14,16,22,4,16,,18
CNN,2008-01-14,2008-01-17,-15,377,Registered Voters,,,,,,14,20,29,6,19,,4
USA Today/Gallup,2008-01-10,2008-01-13,-11,831,A,,,,,,13,19,33,3,11,,-
Pew,2008-01-09,2008-01-13,-12,499,Registered Voters,,,,,,13,20,29,6,17,,6
Diageo/Hotline,2008-01-10,2008-01-12,-10,266,Likely Voters,,,,,,12,17,32,4,15,,11
ABC/Post,2008-01-09,2008-01-12,-10,,Likely Voters,,,,,,15,20,28,3,19,,4
CBS/Times,2008-01-09,2008-01-12,-10,270,Likely Voters,,,,,,10,18,33,5,8,,15
Zogby,2008-01-10,2008-01-11,-8,427,Likely Voters,,,,,,9,23,28,4,13,,-
CNN,2008-01-09,2008-01-10,-7,397,Registered Voters,,,,,,18,21,34,5,14,,2
USA Today/Gallup,2008-01-04,2008-01-06,-4,423,A,,,,,,20,25,19,4,9,,9
Pew,2007-12-19,2007-12-30,-1,556,Registered Voters,,,,,,20,17,22,4,12,,12
AP-Yahoo,2007-12-14,2007-12-20,11,655,Registered Voters,,,,,,21,22,14,3,13,,12
Fox,2007-12-18,2007-12-19,15,315,Registered Voters,,,,,,20,19,19,3,11,,13
NBC/WSJ,2007-12-14,2007-12-17,16,,A,,,,,,20,17,14,4,20,,10
Harris,2007-12-07,2007-12-17,12,355,Likely Voters,,,,,,25,21,11,6,18,,-
USA Today/Gallup,2007-12-14,2007-12-16,17,399,A,,,,,,27,16,14,3,14,,9
Zogby,2007-12-12,2007-12-14,19,432,Likely Voters,,,,,,23,22,12,4,16,,9
Diageo/Hotline,2007-12-10,2007-12-14,18,291,Likely Voters,,,,,,21,17,10,7,13,,14
GWU Battleground,2007-12-09,2007-12-12,21,,Likely Voters,,,,,,22,24,15,6,16,,7
ARG,2007-12-09,2007-12-12,21,600,Likely Voters,,,,,,21,21,18,5,16,,11
ABC/Post,2007-12-06,2007-12-09,24,293,Likely Voters,,,,,,25,19,12,3,17,,7
CNN,2007-12-06,2007-12-09,24,377,Registered Voters,,,,,,24,22,13,6,16,,6
CBS/Times,2007-12-05,2007-12-09,23,266,Likely Voters,,,,,,22,21,7,4,16,,17
AP-Ipsos,2007-12-03,2007-12-05,28,376,A,,,,,,26,18,13,3,12,,16
Times/Bloomberg,2007-11-30,2007-12-03,30,428,Likely Voters,,,,,,23,17,11,5,9,,17
USA Today/Gallup,2007-11-30,2007-12-02,31,425,A,,,,,,25,16,15,4,12,,10
Pew/AP,2007-11-07,2007-11-25,30,448,Likely Voters,,,,,,26,11,17,4,13,,15
Zogby,2007-11-14,2007-11-17,46,503,Likely Voters,,,,,,29,11,9,5,9,,21
Fox,2007-11-13,2007-11-14,50,297,Registered Voters,,,,,,33,8,17,3,8,,13
Gallup,2007-11-11,2007-11-14,49,398,A,,,,,,28,10,13,5,12,,9
ARG,2007-11-09,2007-11-12,51,600,Likely Voters,,,,,,25,6,12,4,21,,12
Harris,2007-11-02,2007-11-12,47,565,Likely Voters,,,,,,34,9,13,6,16,,-
Cook/RT,2007-11-08,2007-11-11,52,308,Registered Voters,,,,,,29,8,12,6,12,,16
AP-Ipsos,2007-11-05,2007-11-07,56,361,A,,,,,,29,10,13,-,12,,15
NBC/WSJ,2007-11-01,2007-11-05,57,,A,,,,,,33,8,16,4,11,,8
USA Today/Gallup,2007-11-02,2007-11-04,59,430,A,,,,,,34,6,18,1,14,,9
CNN,2007-11-02,2007-11-04,59,397,Registered Voters,,,,,,28,10,16,5,11,,5
Newsweek,2007-10-31,2007-11-01,63,430,Registered Voters,,,,,,30,7,14,3,12,,17
WNBC/Marist,2007-10-29,2007-11-01,62,306,Registered Voters,,,,,,30,5,17,2,13,,20
ABC/Post,2007-10-29,2007-11-01,62,436,A,,,,,,33,9,19,3,11,,7
Quinnipiac,2007-10-23,2007-10-29,63,678,Registered Voters,,,,,,27,6,13,2,14,,15
Fox,2007-10-23,2007-10-24,71,303,Registered Voters,,,,,,31,5,12,1,7,,16
Pew,2007-10-17,2007-10-23,69,648,Registered Voters,,,,,,31,8,18,3,9,,8
Times/Bloomberg,2007-10-19,2007-10-22,72,364,Registered Voters,,,,,,32,7,13,2,11,,16
POS (R),2007-10-18,2007-10-21,73,382,Likely Voters,,,,,,29,3,10,2,12,,27
Harris,2007-10-04,2007-10-18,70,603,Likely Voters,,,,,,31,7,12,4,17,,-
CNN,2007-10-12,2007-10-14,80,374,Registered Voters,,,,,,27,5,17,2,13,,11
USA Today/Gallup,2007-10-12,2007-10-14,80,411,A,,,,,,32,6,14,5,10,,9
Zogby,2007-10-10,2007-10-14,79,374,Likely Voters,,,,,,28,4,8,3,14,,18
ARG,2007-10-09,2007-10-12,82,600,Likely Voters,,,,,,24,6,14,2,15,,17
Fox,2007-10-09,2007-10-10,85,337,Registered Voters,,,,,,29,5,12,2,11,,17
Gallup,2007-10-04,2007-10-07,87,409,A,,,,,,32,7,16,2,9,,11
InsiderAdvantage,2007-10-04,2007-10-07,87,844,Likely Voters,,,,,,25,6,13,5,10,,22
AP-Ipsos,2007-10-01,2007-10-03,91,358,A,,,,,,25,7,12,-,9,,8
ABC/Post,2007-09-27,2007-09-30,94,398,A,,,,,,30,7,12,3,9,,7
NBC/WSJ,2007-09-28,2007-09-30,94,606,Likely Voters,,,,,,30,4,15,2,10,,10
AP-Ipsos,2007-09-21,2007-09-25,98,420,A,,,,,,21,7,17,-,10,,13
Fabrizio-McLaughlin,2007-09-21,2007-09-23,101,1000,Registered Voters,,,,,,23,3,12,-,10,,19
Cook/RT,2007-09-13,2007-09-16,108,340,Registered Voters,,,,,,27,4,15,3,8,,17
Gallup,2007-09-14,2007-09-16,108,408,A,,,,,,27,3,18,3,6,,9
Pew,2007-09-12,2007-09-16,107,467,Registered Voters,,,,,,32,4,15,1,9,,6
Zogby,2007-09-13,2007-09-16,108,,Likely Voters,,,,,,27,3,13,2,7,,22
Harris,2007-09-06,2007-09-14,107,504,Likely Voters,,,,,,28,3,11,3,9,,-
AP-Ipsos,2007-09-10,2007-09-12,112,358,Registered Voters,,,,,,24,5,15,-,7,,13
ARG,2007-09-09,2007-09-12,112,600,Likely Voters,,,,,,24,4,14,1,9,,15
Fox,2007-09-11,2007-09-12,113,297,Registered Voters,,,,,,32,1,15,1,8,,11
NBC/WSJ,2007-09-07,2007-09-10,114,,Registered Voters,,,,,,32,4,14,2,11,,6
CNN,2007-09-07,2007-09-09,115,379,Registered Voters,,,,,,27,4,14,1,10,,8
USA Today/Gallup,2007-09-07,2007-09-08,117,425,A,,,,,,32,4,14,1,9,,8
ABC/Post,2007-09-04,2007-09-07,117,401,A,,,,,,26,5,18,1,9,,9
Diageo/Hotline,2007-08-22,2007-08-26,128,604,Registered Voters,,,,,,27,4,12,2,15,,15
Fox,2007-08-21,2007-08-22,134,314,Registered Voters,,,,,,29,3,7,3,11,,23
Gallup,2007-08-13,2007-08-16,139,,A,,,,,,32,4,11,3,14,,11
Quinnipiac,2007-08-07,2007-08-13,140,611,Likely Voters,,,,,,28,2,11,2,15,,16
ARG,2007-08-09,2007-08-12,143,600,Likely Voters,,,,,,27,3,13,1,16,,14
Harris,2007-08-03,2007-08-10,143,636,Likely Voters,,,,,,30,2,14,3,11,,-
CNN,2007-08-06,2007-08-08,147,357,Registered Voters,,,,,,27,2,14,1,11,,10
Cook/RT,2007-08-02,2007-08-05,150,308,Registered Voters,,,,,,26,1,16,0,7,,20
USA Today/Gallup,2007-08-03,2007-08-05,150,406,A,,,,,,30,2,14,2,6,,9
Newsweek,2007-08-01,2007-08-02,154,324,Registered Voters,,,,,,30,2,13,2,10,,10
NBC/WSJ,2007-07-27,2007-07-30,156,,Registered Voters,,,,,,33,1,17,2,11,,7
Pew,2007-07-25,2007-07-29,156,546,Registered Voters,,,,,,27,1,16,2,10,,11
Diageo/Hotline,2007-07-19,2007-07-22,164,128,Registered Voters,,,,,,36,0,-,2,11,,8
ABC/Post,2007-07-18,2007-07-21,165,403,A,,,,,,34,2,16,2,8,,5
Fox,2007-07-17,2007-07-18,169,293,Registered Voters,,,,,,27,3,16,2,9,,12
USA Today/Gallup,2007-07-12,2007-07-15,171,417,A,,,,,,30,2,16,3,8,,10
Zogby,2007-07-12,2007-07-14,172,364,Likely Voters,,,,,,21,5,9,1,11,,25
Harris,2007-07-06,2007-07-13,171,560,Likely Voters,,,,,,28,1,17,1,9,,-
ARG,2007-07-09,2007-07-12,174,600,Likely Voters,,,,,,30,1,14,1,10,,11
AP-Ipsos,2007-07-09,2007-07-11,175,,Registered Voters,,,,,,21,3,15,-,11,,15
USA Today/Gallup,2007-07-06,2007-07-08,178,394,A,,,,,,30,2,16,0,9,,9
Fox,2007-06-26,2007-06-27,190,,Registered Voters,,,,,,29,3,17,0,8,,11
CNN,2007-06-22,2007-06-24,192,383,Registered Voters,,,,,,30,2,18,2,9,,10
Cook/RT,2007-06-21,2007-06-23,193,347,Registered Voters,,,,,,20,2,20,2,10,,18
Newsweek,2007-06-20,2007-06-21,196,324,Registered Voters,,,,,,27,4,15,2,12,,8
Cook/RT,2007-06-15,2007-06-17,199,357,Registered Voters,,,,,,20,2,16,2,7,,24
USA Today/Gallup,2007-06-11,2007-06-14,202,393,A,,,,,,28,3,18,2,7,,8
ARG,2007-06-09,2007-06-12,204,600,Likely Voters,,,,,,24,1,20,1,10,,11
NBC/WSJ,2007-06-08,2007-06-11,205,,Registered Voters,,,,,,29,3,14,2,14,,10
Quinnipiac,2007-06-05,2007-06-11,203,663,Registered Voters,,,,,,27,2,15,1,10,,17
Harris,2007-06-01,2007-06-10,203,843,Likely Voters,,,,,,30,2,18,2,11,,-
Times/Bloomberg,2007-06-07,2007-06-10,206,408,Likely Voters,,,,,,27,3,12,-,10,,14
AP-Ipsos,2007-06-04,2007-06-06,210,356,Registered Voters,,,,,,27,2,19,-,10,,10
Fox,2007-06-05,2007-06-06,211,,Registered Voters,,,,,,22,3,15,2,10,,19
USA Today/Gallup,2007-06-01,2007-06-03,213,393,A,,,,,,32,2,19,1,12,,9
ABC/Post,2007-05-29,2007-06-01,215,,A,,,,,,32,2,19,1,9,,8
McLaughlin (R),2007-05-28,2007-06-01,214,350,Registered Voters,,,,,,24,1,17,0,7,,26
InsiderAdvantage/,,,,,,,,,,,,,,,,,
Majority Opinion,2007-05-30,2007-05-31,217,1000,Likely Voters,,,,,,28,4,16,2,17,,8
Diageo/Hotline,2007-05-16,2007-05-20,226,196,Registered Voters,,,,,,26,2,17,1,8,,18
Zogby,2007-05-17,2007-05-20,227,378,Likely Voters,,,,,,26,4,13,0,10,,26
Fox,2007-05-15,2007-05-16,232,,Registered Voters,,,,,,24,1,17,1,9,,24
Cook/RT,2007-05-11,2007-05-13,234,333,Registered Voters,,,,,,25,2,24,1,9,,19
USA Today/Gallup,2007-05-10,2007-05-13,234,429,A,,,,,,29,1,23,0,8,,8
ARG,2007-05-09,2007-05-12,235,600,Likely Voters,,,,,,28,1,24,1,8,,13
Harris,2007-05-03,2007-05-10,235,543,Likely Voters,,,,,,38,1,18,1,8,,-
CNN,2007-05-04,2007-05-06,241,414,Registered Voters,,,,,,25,3,23,1,10,,8
USA Today/Gallup,2007-05-04,2007-05-06,241,427,A,,,,,,34,1,20,0,7,,7
Quinnipiac,2007-04-25,2007-05-01,244,469,Registered Voters,,,,,,27,2,19,0,8,,16
WNBC/Marist,2007-04-26,2007-05-01,245,306,Registered Voters,,,,,,28,2,18,0,7,,15
Cook/RT,2007-04-27,2007-04-29,248,258,Registered Voters,,,,,,28,2,21,1,12,,13
NBC/WSJ,2007-04-20,2007-04-23,254,,Registered Voters,,,,,,33,2,22,-,12,,9
Pew,2007-04-18,2007-04-22,254,530,Registered Voters,,,,,,32,3,23,-,8,,8
Fox,2007-04-17,2007-04-18,260,,Registered Voters,,,,,,35,1,16,0,10,,11
Harris,2007-04-03,2007-04-16,256,522,Likely Voters,,,,,,39,1,18,1,14,,-
ABC/Post,2007-04-12,2007-04-15,262,,A,,,,,,33,1,21,1,9,,6
USA Today/Gallup,2007-04-13,2007-04-15,262,441,A,,,,,,35,2,22,2,9,,3
ARG,2007-04-09,2007-04-12,265,600,Likely Voters,,,,,,27,1,23,0,12,,14
CNN,2007-04-10,2007-04-12,265,,Registered Voters,,,,,,27,0,24,1,10,,13
Times/Bloomberg,2007-04-05,2007-04-09,267,437,Likely Voters,,,,,,29,3,12,-,8,,17
USA Today/Gallup,2007-04-02,2007-04-05,272,430,Registered Voters,,,,,,38,1,16,2,6,,4
Cook/RT,2007-03-29,2007-04-01,276,290,Registered Voters,,,,,,34,2,17,0,6,,13
Fox,2007-03-27,2007-03-28,281,,Registered Voters,,,,,,36,3,20,-,6,,10
Time,2007-03-23,2007-03-26,282,407,Registered Voters,,,,,,35,1,22,-,11,,11
Zogby,2007-03-22,2007-03-26,281,376,Likely Voters,,,,,,27,1,13,3,9,,28
Dem Corps (D),2007-03-20,2007-03-25,282,465,Likely Voters,,,,,,41,2,23,1,12,,8
McLaughlin (R),2007-03-21,2007-03-25,282,,Likely Voters,,,,,,29,2,19,0,5,,28
Pew,2007-03-21,2007-03-25,282,529,Registered Voters,,,,,,33,1,23,-,8,,12
USA Today/Gallup,2007-03-23,2007-03-25,283,429,A,,,,,,31,1,22,1,3,,10
Time,2007-03-09,2007-03-12,296,631,Registered Voters,,,,,,40,2,20,-,7,,13
CNN,2007-03-09,2007-03-11,297,401,Registered Voters,,,,,,34,1,18,2,9,,17
AP-Ipsos,2007-03-05,2007-03-07,301,,Registered Voters,,,,,,35,3,22,-,8,,12
ARG,2007-03-02,2007-03-05,303,600,Likely Voters,,,,,,34,1,30,1,7,,9
NBC/WSJ,2007-03-02,2007-03-05,303,,Registered Voters,,,,,,38,2,24,-,8,,9
USA Today/Gallup,2007-03-02,2007-03-04,304,424,A,,,,,,44,0,20,-,8,,8
Fox,2007-02-27,2007-02-28,309,,Registered Voters,,,,,,39,4,19,-,6,,16
Time,2007-02-23,2007-02-26,310,447,Registered Voters,,,,,,38,1,24,-,7,,12
ABC/Post,2007-02-22,2007-02-25,311,,A,,,,,,44,2,21,1,4,,4
Zogby,2007-02-22,2007-02-24,312,397,Likely Voters,,,,,,29,0,20,-,9,,19
Quinnipiac,2007-02-13,2007-02-19,315,578,Registered Voters,,,,,,40,2,18,1,7,,15
Cook/RT,2007-02-15,2007-02-18,318,320,Registered Voters,,,,,,32,1,23,-,10,,8
WNBC/Marist,2007-02-12,2007-02-15,321,367,Registered Voters,,,,,,28,1,21,1,10,,22
USA Today/Gallup,2007-02-09,2007-02-11,325,425,A,,,,,,40,2,24,-,5,,7
Fox,2007-01-30,2007-01-31,337,,Registered Voters,,,,,,34,0,22,-,3,,17
Time,2007-01-22,2007-01-23,345,441,Registered Voters,,,,,,26,1,30,-,5,,14
CNN,2007-01-19,2007-01-21,346,365,Registered Voters,,,,,,32,1,26,1,7,,12
ABC/Post,2007-01-16,2007-01-19,348,,A,,,,,,34,1,27,1,9,,9
USA Today/Gallup,2007-01-12,2007-01-14,353,412,A,,,,,,31,1,27,-,7,,10
Zogby,2007-01-05,2007-01-09,357,301,Likely Voters,,,,,,21,1,17,-,6,,23
USA Today/Gallup,2006-12-11,2006-12-14,384,,A,,,,,,28,2,28,-,4,,7
ABC/Post,2006-12-07,2006-12-11,386,,A,,,,,,34,0,26,-,5,,9
NBC/WSJ,2006-12-08,2006-12-11,387,,Registered Voters,,,,,,34,2,29,-,8,,8
CNN,2006-12-05,2006-12-07,391,322,Registered Voters,,,,,,29,-,24,-,6,,23
Fox,2006-12-05,2006-12-06,393,,Registered Voters,,,,,,30,-,23,-,8,,22
WNBC/Marist,2006-11-27,2006-12-03,393,367,Registered Voters,,,,,,24,1,23,-,4,,17
CNN,2006-11-17,2006-11-19,409,,Registered Voters,,,,,,33,-,30,-,9,,8
Cook/RT,2006-11-09,2006-11-12,416,626,Registered Voters,,,,,,27,2,25,-,9,,19
Pew,2006-11-09,2006-11-12,416,,Registered Voters,,,,,,27,-,26,-,7,,6
USA Today/Gallup,2006-11-09,2006-11-12,416,379,A,,,,,,28,1,26,-,5,,7
McLaughlin (R),2006-11-07,2006-11-07,422,06,V,,,,,,22,1,28,-,4,,22
CNN,2006-10-27,2006-10-29,430,,Registered Voters,,,,,,29,-,27,-,7,,11
WNBC/Marist,2006-09-18,2006-09-20,469,286,Registered Voters,,,,,,23,0,15,-,4,,21
CNN,2006-08-30,2006-09-02,487,,Registered Voters,,,,,,32,-,21,-,6,,14
Fox,2006-08-29,2006-08-30,491,,Registered Voters,,,,,,27,-,25,-,5,,14
Cook/RT,2006-08-25,2006-08-27,493,291,Registered Voters,,,,,,32,2,20,-,5,,14
Pew,2006-08-09,2006-08-13,506,409,Registered Voters,,,,,,24,-,20,-,4,,3
Cook/RT,2006-06-01,2006-06-04,577,322,Registered Voters,,,,,,24,0,29,-,8,,15
Gallup,2006-06-01,2006-06-04,577,419,Registered Voters,,,,,,29,2,24,-,6,,9
Diageo/Hotline,2006-03-16,2006-03-19,654,602,Registered Voters,,,,,,23,-,25,-,4,,22
Fox,2006-03-14,2006-03-15,659,,Registered Voters,,,,,,29,-,22,-,4,,22
WNBC/Marist,2006-02-13,2006-02-15,686,271,Registered Voters,,,,,,22,-,22,-,4,,17
CNN/USA T/Gallup,2006-02-09,2006-02-12,689,400,Registered Voters,,,,,,33,-,28,-,3,,12
CNN/USA T/Gallup,2005-12-09,2005-12-11,752,405,Registered Voters,,,,,,30,-,22,-,-,,10
Cook/RT,2005-12-08,2005-12-11,752,380,Registered Voters,,,,,,25,2,25,-,4,,14
Zogby,2005-12-06,2005-12-08,755,,Likely Voters,,,,,,17,1,19,-,2,,26
Diageo/Hotline,2005-11-11,2005-11-15,777,326,Registered Voters,,,,,,22,-,21,-,-,,11
NBC/WSJ,2005-11-04,2005-11-07,786,,Registered Voters,,,,,,34,-,31,-,3,,11
WNBC/Marist,2005-10-12,2005-10-17,806,312,Registered Voters,,,,,,21,-,19,-,0,,17
Fox,2005-09-27,2005-09-28,827,,Registered Voters,,,,,,26,-,23,-,3,,17
CNN/USA T/Gallup,2005-08-05,2005-08-07,878,406,Registered Voters,,,,,,27,-,24,-,4,,8
Zogby,2005-06-20,2005-06-22,924,632,Likely Voters,,,,,,11,-,29,-,2,,22
Fox,2005-06-14,2005-06-15,932,,Registered Voters,,,,,,29,-,26,-,2,,23
WNBC/Marist,2005-04-18,2005-04-21,986,352,Registered Voters,,,,,,27,-,20,-,1,,24
WNBC/Marist,2005-02-14,2005-02-16,1050,347,Registered Voters,,,,,,25,-,21,-,1,,20
CNN/USA T/Gallup,2005-02-04,2005-02-06,1060,491,Registered Voters,,,,,,33,-,30,-,-,,8
Ipsos,2004-12-17,2004-12-19,1109,381,Registered Voters,,,,,,29,-,25,-,1,,17
McLaughlin (R),2004-11-02,2004-11-02,1157,04,V,,,,,,34,-,15,-,1,,37
